quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,10,10,-
2018-Q3,construction,construction,construction,200,120,80
2018-Q3,services,wholesale and retail trade,wholesale trade,370,360,10
2018-Q3,services,wholesale and retail trade,retail trade,80,60,10
2018-Q3,services,transportation and storage,land transport and supporting services,30,30,-
2018-Q3,services,transportation and storage,water transport and supporting services,10,10,-
2018-Q3,services,transportation and storage,air transport and supporting services,10,10,-
2018-Q3,services,transportation and storage,other transport and storage services,80,80,-
2018-Q3,services,accommodation and food services,accommodation,10,10,-
2018-Q3,services,accommodation and food services,food and beverage services,210,210,10
2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing",110,110,-
2018-Q3,services,information and communications,it and other information services,100,90,10
2018-Q3,services,financial and insurance services,financial services,310,300,-
2018-Q3,services,financial and insurance services,insurance services,20,10,-
2018-Q3,services,real estate services,real estate services,10,10,-
2018-Q3,services,professional services,"legal, accounting and management services",110,100,10
2018-Q3,services,professional services,architectural and engineering services,70,40,30
2018-Q3,services,professional services,other professional services,80,80,-
2018-Q3,services,administrative and support services,security and investigation,-,-,-
2018-Q3,services,administrative and support services,cleaning and landscaping,10,-,10
2018-Q3,services,administrative and support services,other adminstrative and support services,60,50,10
2018-Q3,services,"community, social and personal services",public administration and education,40,10,40
2018-Q3,services,"community, social and personal services",health and social services,-,-,-
2018-Q3,services,"community, social and personal services","arts, entertainment and recreation",90,90,-
2018-Q3,services,"community, social and personal services","other community, social and personal services",20,10,-
2018-Q3,others,others,others,-,-,-
2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2018-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",10,10,-
2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",110,80,30
2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",80,60,30
2018-Q4,manufacturing,transport equipment,transport equipment,110,90,10
2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,40,40,-
2018-Q4,construction,construction,construction,180,110,70
2018-Q4,services,wholesale and retail trade,wholesale trade,430,390,40
2018-Q4,services,wholesale and retail trade,retail trade,30,30,-
2018-Q4,services,transportation and storage,land transport and supporting services,10,10,-
2018-Q4,services,transportation and storage,water transport and supporting services,80,80,-
2018-Q4,services,transportation and storage,air transport and supporting services,-,-,-
2018-Q4,services,transportation and storage,other transport and storage services,100,100,-
2018-Q4,services,accommodation and food services,accommodation,-,-,-
2018-Q4,services,accommodation and food services,food and beverage services,50,50,-
2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing",310,270,40
2018-Q4,services,information and communications,it and other information services,160,140,10
2018-Q4,services,financial and insurance services,financial services,350,350,-
2018-Q4,services,financial and insurance services,insurance services,20,20,-
2018-Q4,services,real estate services,real estate services,20,20,-
2018-Q4,services,professional services,"legal, accounting and management services",170,170,10
2018-Q4,services,professional services,architectural and engineering services,80,60,20
2018-Q4,services,professional services,other professional services,30,30,-
2018-Q4,services,administrative and support services,security and investigation,-,-,-
2018-Q4,services,administrative and support services,cleaning and landscaping,-,-,-
2018-Q4,services,administrative and support services,other adminstrative and support services,30,30,-
2018-Q4,services,"community, social and personal services",public administration and education,20,20,-
2018-Q4,services,"community, social and personal services",health and social services,-,-,-
2018-Q4,services,"community, social and personal services","arts, entertainment and recreation",30,30,-
2018-Q4,services,"community, social and personal services","other community, social and personal services",20,10,-
2018-Q4,others,others,others,-,-,-
2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,-,10
2019-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",70,70,-
2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,70,-
2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",230,220,10
2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",600,600,-
2019-Q1,manufacturing,transport equipment,transport equipment,40,40,10
2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,30,30,-
2019-Q1,construction,construction,construction,280,210,70
2019-Q1,services,wholesale and retail trade,wholesale trade,520,500,30
2019-Q1,services,wholesale and retail trade,retail trade,90,90,-
2019-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2019-Q1,services,transportation and storage,water transport and supporting services,20,20,-
2019-Q1,services,transportation and storage,air transport and supporting services,10,10,-
2019-Q1,services,transportation and storage,other transport and storage services,290,290,-
2019-Q1,services,accommodation and food services,accommodation,-,-,-
2019-Q1,services,accommodation and food services,food and beverage services,40,40,-
2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing",70,70,-
2019-Q1,services,information and communications,it and other information services,140,140,-
2019-Q1,services,financial and insurance services,financial services,230,230,-
2019-Q1,services,financial and insurance services,insurance services,10,10,-
2019-Q1,services,real estate services,real estate services,110,20,90
2019-Q1,services,professional services,"legal, accounting and management services",160,160,-
2019-Q1,services,professional services,architectural and engineering services,20,20,-
2019-Q1,services,professional services,other professional services,60,60,-
2019-Q1,services,administrative and support services,security and investigation,-,-,-
2019-Q1,services,administrative and support services,cleaning and landscaping,-,-,-
2019-Q1,services,administrative and support services,other adminstrative and support services,40,30,10
2019-Q1,services,"community, social and personal services",public administration and education,-,-,-
2019-Q1,services,"community, social and personal services",health and social services,40,40,-
2019-Q1,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2019-Q1,services,"community, social and personal services","other community, social and personal services",40,40,-
2019-Q1,others,others,others,-,-,-
2019-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2019-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",30,20,10
2019-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2019-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",110,110,-
2019-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",190,140,50
2019-Q2,manufacturing,transport equipment,transport equipment,10,10,-
2019-Q2,manufacturing,other manufacturing industries,other manufacturing industries,100,100,-
2019-Q2,construction,construction,construction,150,80,70
2019-Q2,services,wholesale and retail trade,wholesale trade,430,430,-
2019-Q2,services,wholesale and retail trade,retail trade,50,50,-
2019-Q2,services,transportation and storage,land transport and supporting services,-,-,-
2019-Q2,services,transportation and storage,water transport and supporting services,20,20,-
2019-Q2,services,transportation and storage,air transport and supporting services,-,-,-
2019-Q2,services,transportation and storage,other transport and storage services,150,140,10
2019-Q2,services,accommodation and food services,accommodation,-,-,-
2019-Q2,services,accommodation and food services,food and beverage services,30,20,10
2019-Q2,services,information and communications,"telecommunications, broadcasting and publishing",70,70,-
2019-Q2,services,information and communications,it and other information services,110,100,10
2019-Q2,services,financial and insurance services,financial services,400,390,-
2019-Q2,services,financial and insurance services,insurance services,40,40,-
2019-Q2,services,real estate services,real estate services,30,30,-
2019-Q2,services,professional services,"legal, accounting and management services",130,130,-
2019-Q2,services,professional services,architectural and engineering services,80,80,-
2019-Q2,services,professional services,other professional services,40,30,-
2019-Q2,services,administrative and support services,security and investigation,-,-,-
2019-Q2,services,administrative and support services,cleaning and landscaping,-,-,-
2019-Q2,services,administrative and support services,other adminstrative and support services,50,40,10
2019-Q2,services,"community, social and personal services",public administration and education,40,40,-
2019-Q2,services,"community, social and personal services",health and social services,-,-,-
2019-Q2,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2019-Q2,services,"community, social and personal services","other community, social and personal services",10,10,-
2019-Q2,others,others,others,-,-,-
2019-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",60,10,50
2019-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",10,10,-
2019-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2019-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",110,100,20
2021-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",30,30,-
2019-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",200,180,20
2019-Q3,manufacturing,transport equipment,transport equipment,60,60,-
2019-Q3,manufacturing,other manufacturing industries,other manufacturing industries,130,110,10
2019-Q3,construction,construction,construction,160,110,50
2019-Q3,services,wholesale and retail trade,wholesale trade,490,470,10
2019-Q3,services,wholesale and retail trade,retail trade,30,30,-
2019-Q3,services,transportation and storage,land transport and supporting services,50,50,-
2019-Q3,services,transportation and storage,water transport and supporting services,10,10,-
2019-Q3,services,transportation and storage,air transport and supporting services,30,30,-
2019-Q3,services,transportation and storage,other transport and storage services,90,80,-
2019-Q3,services,accommodation and food services,accommodation,20,20,-
2019-Q3,services,accommodation and food services,food and beverage services,10,10,10
2019-Q3,services,information and communications,"telecommunications, broadcasting and publishing",90,90,-
2019-Q3,services,information and communications,it and other information services,70,70,-
2019-Q3,services,financial and insurance services,financial services,270,270,-
2019-Q3,services,financial and insurance services,insurance services,40,40,-
2019-Q3,services,real estate services,real estate services,20,20,-
2019-Q3,services,professional services,"legal, accounting and management services",130,130,-
2019-Q3,services,professional services,architectural and engineering services,140,120,20
2019-Q3,services,professional services,other professional services,30,10,20
2019-Q3,services,administrative and support services,security and investigation,10,10,-
2019-Q3,services,administrative and support services,cleaning and landscaping,60,60,-
2019-Q3,services,administrative and support services,other adminstrative and support services,70,70,-
2019-Q3,services,"community, social and personal services",public administration and education,30,20,-
2019-Q3,services,"community, social and personal services",health and social services,10,10,-
2019-Q3,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2019-Q3,services,"community, social and personal services","other community, social and personal services",10,-,-
2019-Q3,others,others,others,20,20,-
2019-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2019-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",60,60,-
2019-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,60,-
2019-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",230,230,-
2019-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",170,160,10
2019-Q4,manufacturing,transport equipment,transport equipment,10,10,-
2019-Q4,manufacturing,other manufacturing industries,other manufacturing industries,100,100,-
2019-Q4,construction,construction,construction,270,100,180
2019-Q4,services,wholesale and retail trade,wholesale trade,410,400,10
2019-Q4,services,wholesale and retail trade,retail trade,60,60,-
2019-Q4,services,transportation and storage,land transport and supporting services,10,10,-
2019-Q4,services,transportation and storage,water transport and supporting services,30,30,-
2019-Q4,services,transportation and storage,air transport and supporting services,-,-,-
2019-Q4,services,transportation and storage,other transport and storage services,50,50,-
2019-Q4,services,accommodation and food services,accommodation,-,-,-
2019-Q4,services,accommodation and food services,food and beverage services,70,70,-
2019-Q4,services,information and communications,"telecommunications, broadcasting and publishing",70,70,-
2019-Q4,services,information and communications,it and other information services,90,90,-
2019-Q4,services,financial and insurance services,financial services,300,280,20
2019-Q4,services,financial and insurance services,insurance services,20,20,-
2019-Q4,services,real estate services,real estate services,40,40,-
2019-Q4,services,professional services,"legal, accounting and management services",220,210,-
2019-Q4,services,professional services,architectural and engineering services,120,120,-
2019-Q4,services,professional services,other professional services,90,90,-
2019-Q4,services,administrative and support services,security and investigation,-,-,-
2019-Q4,services,administrative and support services,cleaning and landscaping,10,10,-
2019-Q4,services,administrative and support services,other adminstrative and support services,40,40,-
2019-Q4,services,"community, social and personal services",public administration and education,20,20,-
2019-Q4,services,"community, social and personal services",health and social services,50,50,-
2019-Q4,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2019-Q4,services,"community, social and personal services","other community, social and personal services",40,40,-
2019-Q4,others,others,others,10,10,-
2020-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",90,80,10
2020-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",20,20,-
2020-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",40,40,-
2022-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2020-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",170,160,10
2020-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",220,220,-
2020-Q1,manufacturing,transport equipment,transport equipment,10,-,-
2020-Q1,manufacturing,other manufacturing industries,other manufacturing industries,170,170,-
2020-Q1,construction,construction,construction,140,90,50
2020-Q1,services,wholesale and retail trade,wholesale trade,470,460,10
2020-Q1,services,wholesale and retail trade,retail trade,280,260,10
2020-Q1,services,transportation and storage,land transport and supporting services,40,40,-
2020-Q1,services,transportation and storage,water transport and supporting services,20,20,-
2020-Q1,services,transportation and storage,air transport and supporting services,-,-,-
2020-Q1,services,transportation and storage,other transport and storage services,70,70,-
2020-Q1,services,accommodation and food services,accommodation,180,180,-
2020-Q1,services,accommodation and food services,food and beverage services,210,170,30
2020-Q1,services,information and communications,"telecommunications, broadcasting and publishing",150,150,-
2020-Q1,services,information and communications,it and other information services,90,90,-
2020-Q1,services,financial and insurance services,financial services,260,240,20
2020-Q1,services,financial and insurance services,insurance services,60,50,-
2020-Q1,services,real estate services,real estate services,40,40,-
2020-Q1,services,professional services,"legal, accounting and management services",150,150,10
2020-Q1,services,professional services,architectural and engineering services,40,40,-
2020-Q1,services,professional services,other professional services,140,140,-
2020-Q1,services,administrative and support services,security and investigation,-,-,-
2020-Q1,services,administrative and support services,cleaning and landscaping,10,10,-
2020-Q1,services,administrative and support services,other adminstrative and support services,110,90,20
2020-Q1,services,"community, social and personal services",public administration and education,30,30,-
2020-Q1,services,"community, social and personal services",health and social services,-,-,-
2020-Q1,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2020-Q1,services,"community, social and personal services","other community, social and personal services",20,20,-
2020-Q1,others,others,others,10,10,-
2020-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",80,80,-
2020-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",30,30,-
2020-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",20,20,-
2020-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",470,370,110
2020-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",150,150,-
2020-Q2,manufacturing,transport equipment,transport equipment,660,650,20
2020-Q2,manufacturing,other manufacturing industries,other manufacturing industries,140,120,20
2020-Q2,construction,construction,construction,440,340,100
2020-Q2,services,wholesale and retail trade,wholesale trade,1520,1490,30
2020-Q2,services,wholesale and retail trade,retail trade,350,340,10
2020-Q2,services,transportation and storage,land transport and supporting services,40,40,-
2020-Q2,services,transportation and storage,water transport and supporting services,80,80,-
2020-Q2,services,transportation and storage,air transport and supporting services,30,10,20
2020-Q2,services,transportation and storage,other transport and storage services,110,100,10
2020-Q2,services,accommodation and food services,accommodation,230,220,-
2020-Q2,services,accommodation and food services,food and beverage services,490,430,60
2020-Q2,services,information and communications,"telecommunications, broadcasting and publishing",100,100,-
2020-Q2,services,information and communications,it and other information services,440,420,10
2020-Q2,services,financial and insurance services,financial services,950,920,30
2020-Q2,services,financial and insurance services,insurance services,70,70,-
2020-Q2,services,real estate services,real estate services,40,40,-
2020-Q2,services,professional services,"legal, accounting and management services",280,250,30
2020-Q2,services,professional services,architectural and engineering services,250,120,130
2020-Q2,services,professional services,other professional services,100,100,-
2020-Q2,services,administrative and support services,security and investigation,-,-,-
2020-Q2,services,administrative and support services,cleaning and landscaping,210,170,30
2020-Q2,services,administrative and support services,other adminstrative and support services,370,180,180
2020-Q2,services,"community, social and personal services",public administration and education,130,110,20
2020-Q2,services,"community, social and personal services",health and social services,30,30,-
2020-Q2,services,"community, social and personal services","arts, entertainment and recreation",270,220,50
2020-Q2,services,"community, social and personal services","other community, social and personal services",50,30,20
2020-Q2,others,others,others,20,20,-
2020-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",160,140,20
2020-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",160,150,-
2020-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,70,10
2020-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",410,390,20
2020-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",200,200,-
2020-Q3,manufacturing,transport equipment,transport equipment,880,860,20
2020-Q3,manufacturing,other manufacturing industries,other manufacturing industries,190,190,-
2020-Q3,construction,construction,construction,340,250,80
2020-Q3,services,wholesale and retail trade,wholesale trade,1030,970,60
2020-Q3,services,wholesale and retail trade,retail trade,350,350,-
2020-Q3,services,transportation and storage,land transport and supporting services,10,10,-
2020-Q3,services,transportation and storage,water transport and supporting services,50,50,-
2020-Q3,services,transportation and storage,air transport and supporting services,440,310,130
2020-Q3,services,transportation and storage,other transport and storage services,160,160,10
2020-Q3,services,accommodation and food services,accommodation,200,200,-
2020-Q3,services,accommodation and food services,food and beverage services,250,230,20
2020-Q3,services,information and communications,"telecommunications, broadcasting and publishing",160,160,-
2020-Q3,services,information and communications,it and other information services,210,190,20
2020-Q3,services,financial and insurance services,financial services,370,360,20
2020-Q3,services,financial and insurance services,insurance services,30,30,-
2020-Q3,services,real estate services,real estate services,40,40,-
2020-Q3,services,professional services,"legal, accounting and management services",450,450,-
2020-Q3,services,professional services,architectural and engineering services,310,240,80
2020-Q3,services,professional services,other professional services,60,60,-
2020-Q3,services,administrative and support services,security and investigation,-,-,-
2020-Q3,services,administrative and support services,cleaning and landscaping,50,50,-
2020-Q3,services,administrative and support services,other adminstrative and support services,540,290,250
2020-Q3,services,"community, social and personal services",public administration and education,40,30,10
2020-Q3,services,"community, social and personal services",health and social services,-,-,-
2020-Q3,services,"community, social and personal services","arts, entertainment and recreation",1900,1670,230
2020-Q3,services,"community, social and personal services","other community, social and personal services",70,60,10
2020-Q3,others,others,others,10,-,10
2020-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2020-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",30,30,-
2020-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2020-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",350,270,80
2020-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",220,220,-
2020-Q4,manufacturing,transport equipment,transport equipment,160,150,10
2020-Q4,manufacturing,other manufacturing industries,other manufacturing industries,200,190,10
2020-Q4,construction,construction,construction,70,70,-
2020-Q4,services,wholesale and retail trade,wholesale trade,780,760,20
2020-Q4,services,wholesale and retail trade,retail trade,210,160,40
2020-Q4,services,transportation and storage,land transport and supporting services,30,30,-
2020-Q4,services,transportation and storage,water transport and supporting services,90,90,-
2020-Q4,services,transportation and storage,air transport and supporting services,1530,320,1200
2020-Q4,services,transportation and storage,other transport and storage services,80,80,-
2020-Q4,services,accommodation and food services,accommodation,110,110,-
2020-Q4,services,accommodation and food services,food and beverage services,40,40,-
2020-Q4,services,information and communications,"telecommunications, broadcasting and publishing",170,170,-
2020-Q4,services,information and communications,it and other information services,120,120,-
2020-Q4,services,financial and insurance services,financial services,330,320,20
2020-Q4,services,financial and insurance services,insurance services,70,70,-
2020-Q4,services,real estate services,real estate services,30,30,-
2020-Q4,services,professional services,"legal, accounting and management services",320,310,20
2020-Q4,services,professional services,architectural and engineering services,190,120,70
2020-Q4,services,professional services,other professional services,30,30,-
2020-Q4,services,administrative and support services,security and investigation,-,-,-
2020-Q4,services,administrative and support services,cleaning and landscaping,10,10,-
2020-Q4,services,administrative and support services,other adminstrative and support services,300,300,-
2020-Q4,services,"community, social and personal services",public administration and education,30,30,-
2020-Q4,services,"community, social and personal services",health and social services,10,-,10
2020-Q4,services,"community, social and personal services","arts, entertainment and recreation",40,40,-
2020-Q4,services,"community, social and personal services","other community, social and personal services",70,40,30
2020-Q4,others,others,others,10,10,-
2021-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2021-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",-,-,-
2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",120,100,20
2021-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50,50,-
2021-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",60,60,-
2021-Q1,manufacturing,transport equipment,transport equipment,40,40,-
2021-Q1,manufacturing,other manufacturing industries,other manufacturing industries,20,20,-
2021-Q1,construction,construction,construction,20,10,10
2021-Q1,services,wholesale and retail trade,wholesale trade,490,490,10
2021-Q1,services,wholesale and retail trade,retail trade,80,80,-
2021-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2021-Q1,services,transportation and storage,water transport and supporting services,30,30,-
2021-Q1,services,transportation and storage,air transport and supporting services,130,130,-
2021-Q1,services,transportation and storage,other transport and storage services,30,30,-
2021-Q1,services,accommodation and food services,accommodation,10,10,-
2021-Q1,services,accommodation and food services,food and beverage services,-,-,-
2021-Q1,services,information and communications,"telecommunications, broadcasting and publishing",110,110,-
2021-Q1,services,information and communications,it and other information services,290,260,30
2021-Q1,services,financial and insurance services,financial services,310,310,-
2021-Q1,services,financial and insurance services,insurance services,30,30,-
2021-Q1,services,real estate services,real estate services,50,50,-
2021-Q1,services,professional services,"legal, accounting and management services",210,200,-
2021-Q1,services,professional services,architectural and engineering services,50,50,-
2021-Q1,services,professional services,other professional services,40,40,-
2021-Q1,services,administrative and support services,security and investigation,10,10,-
2021-Q1,services,administrative and support services,cleaning and landscaping,-,-,-
2021-Q1,services,administrative and support services,other adminstrative and support services,30,30,-
2021-Q1,services,"community, social and personal services",public administration and education,10,10,-
2021-Q1,services,"community, social and personal services",health and social services,-,-,-
2021-Q1,services,"community, social and personal services","arts, entertainment and recreation",20,20,-
2021-Q1,services,"community, social and personal services","other community, social and personal services",20,20,-
2021-Q1,others,others,others,-,-,-
2021-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2021-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50,50,-
2021-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",210,210,-
2021-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",30,30,-
2021-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",430,430,-
2021-Q2,manufacturing,transport equipment,transport equipment,20,20,-
2021-Q2,manufacturing,other manufacturing industries,other manufacturing industries,10,10,-
2021-Q2,construction,construction,construction,90,70,20
2021-Q2,services,wholesale and retail trade,wholesale trade,270,260,-
2021-Q2,services,wholesale and retail trade,retail trade,40,40,-
2021-Q2,services,transportation and storage,land transport and supporting services,40,20,20
2021-Q2,services,transportation and storage,water transport and supporting services,20,20,-
2021-Q2,services,transportation and storage,air transport and supporting services,40,40,-
2021-Q2,services,transportation and storage,other transport and storage services,30,20,10
2021-Q2,services,accommodation and food services,accommodation,20,20,-
2021-Q2,services,accommodation and food services,food and beverage services,30,30,-
2021-Q2,services,information and communications,"telecommunications, broadcasting and publishing",100,100,-
2021-Q2,services,information and communications,it and other information services,100,70,30
2021-Q2,services,financial and insurance services,financial services,310,310,-
2021-Q2,services,financial and insurance services,insurance services,20,20,-
2021-Q2,services,real estate services,real estate services,20,20,-
2021-Q2,services,professional services,"legal, accounting and management services",180,180,-
2021-Q2,services,professional services,architectural and engineering services,80,70,10
2021-Q2,services,professional services,other professional services,20,10,-
2021-Q2,services,administrative and support services,security and investigation,-,-,-
2021-Q2,services,administrative and support services,cleaning and landscaping,10,10,-
2021-Q2,services,administrative and support services,other adminstrative and support services,90,30,60
2021-Q2,services,"community, social and personal services",public administration and education,30,20,-
2021-Q2,services,"community, social and personal services",health and social services,-,-,-
2021-Q2,services,"community, social and personal services","arts, entertainment and recreation",40,40,-
2021-Q2,services,"community, social and personal services","other community, social and personal services",10,10,-
2021-Q2,others,others,others,20,20,-
2021-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",10,10,-
2021-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,70,-
2021-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",20,20,-
2021-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",150,150,-
2021-Q3,manufacturing,transport equipment,transport equipment,50,50,-
2021-Q3,manufacturing,other manufacturing industries,other manufacturing industries,40,40,-
2021-Q3,construction,construction,construction,90,90,10
2021-Q3,services,wholesale and retail trade,wholesale trade,230,220,-
2021-Q3,services,wholesale and retail trade,retail trade,30,30,-
2021-Q3,services,transportation and storage,land transport and supporting services,10,-,10
2021-Q3,services,transportation and storage,water transport and supporting services,40,40,-
2021-Q3,services,transportation and storage,air transport and supporting services,30,30,-
2021-Q3,services,transportation and storage,other transport and storage services,50,50,-
2021-Q3,services,accommodation and food services,accommodation,-,-,-
2021-Q3,services,accommodation and food services,food and beverage services,70,50,20
2021-Q3,services,information and communications,"telecommunications, broadcasting and publishing",90,80,10
2021-Q3,services,information and communications,it and other information services,140,130,20
2021-Q3,services,financial and insurance services,financial services,320,320,-
2021-Q3,services,financial and insurance services,insurance services,10,10,-
2021-Q3,services,real estate services,real estate services,20,20,-
2021-Q3,services,professional services,"legal, accounting and management services",200,200,-
2021-Q3,services,professional services,architectural and engineering services,10,10,-
2021-Q3,services,professional services,other professional services,30,20,10
2021-Q3,services,administrative and support services,security and investigation,-,-,-
2021-Q3,services,administrative and support services,cleaning and landscaping,10,10,-
2021-Q3,services,administrative and support services,other adminstrative and support services,160,20,140
2021-Q3,services,"community, social and personal services",public administration and education,10,10,-
2021-Q3,services,"community, social and personal services",health and social services,-,-,-
2021-Q3,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2021-Q3,services,"community, social and personal services","other community, social and personal services",-,-,-
2021-Q3,others,others,others,-,-,-
2021-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",60,60,-
2021-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",-,-,-
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",100,70,30
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50,50,10
2021-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",40,40,-
2021-Q4,manufacturing,transport equipment,transport equipment,20,10,-
2021-Q4,manufacturing,other manufacturing industries,other manufacturing industries,10,10,-
2021-Q4,construction,construction,construction,40,40,10
2021-Q4,services,wholesale and retail trade,wholesale trade,260,260,-
2021-Q4,services,wholesale and retail trade,retail trade,10,10,-
2021-Q4,services,transportation and storage,land transport and supporting services,-,-,-
2021-Q4,services,transportation and storage,water transport and supporting services,50,50,-
2021-Q4,services,transportation and storage,air transport and supporting services,30,30,-
2021-Q4,services,transportation and storage,other transport and storage services,30,30,-
2021-Q4,services,accommodation and food services,accommodation,10,10,-
2021-Q4,services,accommodation and food services,food and beverage services,30,20,10
2021-Q4,services,information and communications,"telecommunications, broadcasting and publishing",80,80,-
2021-Q4,services,information and communications,it and other information services,130,130,10
2021-Q4,services,financial and insurance services,financial services,320,320,-
